0.00.021.964 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.022.363 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.022.938 W srv  llama_server: -----------------
0.00.022.955 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.022.955 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.022.955 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.022.956 W srv  llama_server: -----------------
0.00.024.682 I srv    load_model: loading model '/tmp/codex-model-cache/qwen2.5-3b-instruct-q4_k_m.gguf'
0.00.685.368 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.120.927 I cmn          init: llama threadpool init, n_threads = 4
0.03.504.918 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.03.511.502 I srv  llama_server: model loaded
0.03.511.519 I srv  llama_server: listening on http://127.0.0.1:18941
0.04.315.750 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.716.742 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.13.463.037 I slot print_timing: id  0 | task 21 | prompt eval time =    2010.63 ms /   104 tokens (   19.33 ms per token,    51.73 tokens per second)
0.13.463.051 I slot print_timing: id  0 | task 21 |        eval time =     735.60 ms /     6 tokens (  147.12 ms per token,     6.80 tokens per second)
0.13.463.052 I slot print_timing: id  0 | task 21 |       total time =    2746.23 ms /   110 tokens
0.13.463.054 I slot print_timing: id  0 | task 21 |    graphs reused =         21
0.13.463.124 I slot      release: id  0 | task 21 | stop processing: n_tokens = 160, truncated = 0
0.13.463.162 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.13.463.357 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.13.463.368 W slot   operator(): id  0 | task 22 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.13.463.369 W slot   operator(): id  0 | task 22 | n_past was set to 154
0.14.373.908 I slot print_timing: id  0 | task 22 | prompt eval time =     120.14 ms /     1 tokens (  120.14 ms per token,     8.32 tokens per second)
0.14.373.924 I slot print_timing: id  0 | task 22 |        eval time =     790.37 ms /     6 tokens (  158.07 ms per token,     6.33 tokens per second)
0.14.373.924 I slot print_timing: id  0 | task 22 |       total time =     910.51 ms /     7 tokens
0.14.373.926 I slot print_timing: id  0 | task 22 |    graphs reused =         27
0.14.374.111 I slot      release: id  0 | task 22 | stop processing: n_tokens = 160, truncated = 0
0.14.374.141 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.14.374.304 I slot launch_slot_: id  0 | task 23 | processing task, is_child = 0
0.14.374.314 W slot   operator(): id  0 | task 23 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.14.374.314 W slot   operator(): id  0 | task 23 | n_past was set to 154
0.15.480.142 I slot print_timing: id  0 | task 23 | prompt eval time =     587.69 ms /     1 tokens (  587.69 ms per token,     1.70 tokens per second)
0.15.480.159 I slot print_timing: id  0 | task 23 |        eval time =     518.12 ms /     6 tokens (  103.62 ms per token,     9.65 tokens per second)
0.15.480.159 I slot print_timing: id  0 | task 23 |       total time =    1105.81 ms /     7 tokens
0.15.480.161 I slot print_timing: id  0 | task 23 |    graphs reused =         33
0.15.480.207 I slot      release: id  0 | task 23 | stop processing: n_tokens = 160, truncated = 0
0.15.496.227 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.295 (> 0.100 thold), f_keep = 0.319
0.15.502.814 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
0.17.941.143 I slot print_timing: id  0 | task 42 | prompt eval time =    1631.42 ms /    76 tokens (   21.47 ms per token,    46.59 tokens per second)
0.17.941.160 I slot print_timing: id  0 | task 42 |        eval time =     806.83 ms /     6 tokens (  161.37 ms per token,     6.20 tokens per second)
0.17.941.160 I slot print_timing: id  0 | task 42 |       total time =    2438.25 ms /    82 tokens
0.17.941.161 I slot print_timing: id  0 | task 42 |    graphs reused =         37
0.17.941.225 I slot      release: id  0 | task 42 | stop processing: n_tokens = 178, truncated = 0
0.17.941.267 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.17.941.516 I slot launch_slot_: id  0 | task 43 | processing task, is_child = 0
0.17.941.528 W slot   operator(): id  0 | task 43 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.17.941.529 W slot   operator(): id  0 | task 43 | n_past was set to 172
0.19.185.011 I slot print_timing: id  0 | task 43 | prompt eval time =     309.15 ms /     1 tokens (  309.15 ms per token,     3.23 tokens per second)
0.19.185.027 I slot print_timing: id  0 | task 43 |        eval time =     934.29 ms /     6 tokens (  186.86 ms per token,     5.35 tokens per second)
0.19.185.028 I slot print_timing: id  0 | task 43 |       total time =    1243.44 ms /     7 tokens
0.19.185.030 I slot print_timing: id  0 | task 43 |    graphs reused =         43
0.19.185.087 I slot      release: id  0 | task 43 | stop processing: n_tokens = 178, truncated = 0
0.19.185.124 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.19.185.300 I slot launch_slot_: id  0 | task 45 | processing task, is_child = 0
0.19.185.312 W slot   operator(): id  0 | task 45 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.19.185.313 W slot   operator(): id  0 | task 45 | n_past was set to 172
0.20.123.012 I slot print_timing: id  0 | task 45 | prompt eval time =     139.81 ms /     1 tokens (  139.81 ms per token,     7.15 tokens per second)
0.20.123.028 I slot print_timing: id  0 | task 45 |        eval time =     797.84 ms /     6 tokens (  159.57 ms per token,     6.27 tokens per second)
0.20.123.029 I slot print_timing: id  0 | task 45 |       total time =     937.65 ms /     7 tokens
0.20.123.030 I slot print_timing: id  0 | task 45 |    graphs reused =         49
0.20.123.145 I slot      release: id  0 | task 45 | stop processing: n_tokens = 178, truncated = 0
0.20.144.099 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.329 (> 0.100 thold), f_keep = 0.287
0.20.150.954 I slot launch_slot_: id  0 | task 63 | processing task, is_child = 0
0.22.921.183 I slot print_timing: id  0 | task 63 | prompt eval time =    2145.64 ms /    76 tokens (   28.23 ms per token,    35.42 tokens per second)
0.22.921.302 I slot print_timing: id  0 | task 63 |        eval time =     624.51 ms /     6 tokens (  124.90 ms per token,     8.01 tokens per second)
0.22.921.303 I slot print_timing: id  0 | task 63 |       total time =    2770.15 ms /    82 tokens
0.22.921.305 I slot print_timing: id  0 | task 63 |    graphs reused =         53
0.22.921.755 I slot      release: id  0 | task 63 | stop processing: n_tokens = 160, truncated = 0
0.22.922.826 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.22.923.683 I slot launch_slot_: id  0 | task 64 | processing task, is_child = 0
0.22.923.696 W slot   operator(): id  0 | task 64 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.22.923.697 W slot   operator(): id  0 | task 64 | n_past was set to 154
0.23.741.275 I slot print_timing: id  0 | task 64 | prompt eval time =     252.21 ms /     1 tokens (  252.21 ms per token,     3.96 tokens per second)
0.23.741.293 I slot print_timing: id  0 | task 64 |        eval time =     565.35 ms /     6 tokens (  113.07 ms per token,     8.84 tokens per second)
0.23.741.294 I slot print_timing: id  0 | task 64 |       total time =     817.56 ms /     7 tokens
0.23.741.295 I slot print_timing: id  0 | task 64 |    graphs reused =         59
0.23.741.355 I slot      release: id  0 | task 64 | stop processing: n_tokens = 160, truncated = 0
0.23.741.399 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.23.741.597 I slot launch_slot_: id  0 | task 65 | processing task, is_child = 0
0.23.741.619 W slot   operator(): id  0 | task 65 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.23.741.620 W slot   operator(): id  0 | task 65 | n_past was set to 154
0.24.370.142 I slot print_timing: id  0 | task 65 | prompt eval time =     102.74 ms /     1 tokens (  102.74 ms per token,     9.73 tokens per second)
0.24.370.157 I slot print_timing: id  0 | task 65 |        eval time =     525.76 ms /     6 tokens (  105.15 ms per token,     9.51 tokens per second)
0.24.370.158 I slot print_timing: id  0 | task 65 |       total time =     628.51 ms /     7 tokens
0.24.370.160 I slot print_timing: id  0 | task 65 |    graphs reused =         65
0.24.370.205 I slot      release: id  0 | task 65 | stop processing: n_tokens = 160, truncated = 0
0.24.384.189 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.295 (> 0.100 thold), f_keep = 0.319
0.24.391.750 I slot launch_slot_: id  0 | task 84 | processing task, is_child = 0
0.26.629.722 I slot print_timing: id  0 | task 84 | prompt eval time =    1569.71 ms /    76 tokens (   20.65 ms per token,    48.42 tokens per second)
0.26.629.741 I slot print_timing: id  0 | task 84 |        eval time =     668.21 ms /     6 tokens (  133.64 ms per token,     7.48 tokens per second)
0.26.629.742 I slot print_timing: id  0 | task 84 |       total time =    2237.92 ms /    82 tokens
0.26.629.743 I slot print_timing: id  0 | task 84 |    graphs reused =         69
0.26.630.399 I slot      release: id  0 | task 84 | stop processing: n_tokens = 178, truncated = 0
0.26.630.910 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.26.631.110 I slot launch_slot_: id  0 | task 85 | processing task, is_child = 0
0.26.631.133 W slot   operator(): id  0 | task 85 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.26.631.133 W slot   operator(): id  0 | task 85 | n_past was set to 172
0.27.736.599 I slot print_timing: id  0 | task 85 | prompt eval time =     291.94 ms /     1 tokens (  291.94 ms per token,     3.43 tokens per second)
0.27.736.619 I slot print_timing: id  0 | task 85 |        eval time =     813.52 ms /     6 tokens (  162.70 ms per token,     6.15 tokens per second)
0.27.736.620 I slot print_timing: id  0 | task 85 |       total time =    1105.45 ms /     7 tokens
0.27.736.622 I slot print_timing: id  0 | task 85 |    graphs reused =         75
0.27.736.682 I slot      release: id  0 | task 85 | stop processing: n_tokens = 178, truncated = 0
0.27.736.718 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.27.736.909 I slot launch_slot_: id  0 | task 86 | processing task, is_child = 0
0.27.736.919 W slot   operator(): id  0 | task 86 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.27.736.920 W slot   operator(): id  0 | task 86 | n_past was set to 172
0.29.218.604 I slot print_timing: id  0 | task 86 | prompt eval time =     485.05 ms /     1 tokens (  485.05 ms per token,     2.06 tokens per second)
0.29.218.621 I slot print_timing: id  0 | task 86 |        eval time =     996.60 ms /     6 tokens (  199.32 ms per token,     5.02 tokens per second)
0.29.218.621 I slot print_timing: id  0 | task 86 |       total time =    1481.66 ms /     7 tokens
0.29.218.623 I slot print_timing: id  0 | task 86 |    graphs reused =         81
0.29.218.674 I slot      release: id  0 | task 86 | stop processing: n_tokens = 178, truncated = 0
0.29.245.269 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.329 (> 0.100 thold), f_keep = 0.287
0.29.261.952 I slot launch_slot_: id  0 | task 105 | processing task, is_child = 0
0.32.061.078 I slot print_timing: id  0 | task 105 | prompt eval time =    2229.53 ms /    76 tokens (   29.34 ms per token,    34.09 tokens per second)
0.32.061.097 I slot print_timing: id  0 | task 105 |        eval time =     569.07 ms /     6 tokens (  113.81 ms per token,     8.79 tokens per second)
0.32.061.098 I slot print_timing: id  0 | task 105 |       total time =    2798.60 ms /    82 tokens
0.32.061.100 I slot print_timing: id  0 | task 105 |    graphs reused =         85
0.32.061.331 I slot      release: id  0 | task 105 | stop processing: n_tokens = 160, truncated = 0
0.32.061.366 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.32.061.606 I slot launch_slot_: id  0 | task 106 | processing task, is_child = 0
0.32.061.619 W slot   operator(): id  0 | task 106 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.32.061.620 W slot   operator(): id  0 | task 106 | n_past was set to 154
0.33.362.823 I slot print_timing: id  0 | task 106 | prompt eval time =     249.11 ms /     1 tokens (  249.11 ms per token,     4.01 tokens per second)
0.33.362.843 I slot print_timing: id  0 | task 106 |        eval time =    1052.07 ms /     6 tokens (  210.41 ms per token,     4.75 tokens per second)
0.33.362.843 I slot print_timing: id  0 | task 106 |       total time =    1301.18 ms /     7 tokens
0.33.362.845 I slot print_timing: id  0 | task 106 |    graphs reused =         91
0.33.362.905 I slot      release: id  0 | task 106 | stop processing: n_tokens = 160, truncated = 0
0.33.362.940 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.33.363.160 I slot launch_slot_: id  0 | task 107 | processing task, is_child = 0
0.33.363.173 W slot   operator(): id  0 | task 107 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.33.363.174 W slot   operator(): id  0 | task 107 | n_past was set to 154
0.34.497.727 I slot print_timing: id  0 | task 107 | prompt eval time =     345.03 ms /     1 tokens (  345.03 ms per token,     2.90 tokens per second)
0.34.497.743 I slot print_timing: id  0 | task 107 |        eval time =     789.06 ms /     6 tokens (  157.81 ms per token,     6.34 tokens per second)
0.34.497.743 I slot print_timing: id  0 | task 107 |       total time =    1134.09 ms /     7 tokens
0.34.497.746 I slot print_timing: id  0 | task 107 |    graphs reused =         97
0.34.497.822 I slot      release: id  0 | task 107 | stop processing: n_tokens = 160, truncated = 0
0.34.524.606 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.295 (> 0.100 thold), f_keep = 0.319
0.34.527.889 I slot launch_slot_: id  0 | task 126 | processing task, is_child = 0
0.37.108.904 I slot print_timing: id  0 | task 126 | prompt eval time =    1950.73 ms /    72 tokens (   27.09 ms per token,    36.91 tokens per second)
0.37.108.922 I slot print_timing: id  0 | task 126 |        eval time =     630.22 ms /     6 tokens (  126.04 ms per token,     7.93 tokens per second)
0.37.108.923 I slot print_timing: id  0 | task 126 |       total time =    2580.95 ms /    78 tokens
0.37.108.924 I slot print_timing: id  0 | task 126 |    graphs reused =        101
0.37.109.007 I slot      release: id  0 | task 126 | stop processing: n_tokens = 178, truncated = 0
0.37.109.045 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.37.109.354 I slot launch_slot_: id  0 | task 127 | processing task, is_child = 0
0.37.109.366 W slot   operator(): id  0 | task 127 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.37.109.367 W slot   operator(): id  0 | task 127 | n_past was set to 172
0.37.842.949 I slot print_timing: id  0 | task 127 | prompt eval time =     142.26 ms /     1 tokens (  142.26 ms per token,     7.03 tokens per second)
0.37.842.969 I slot print_timing: id  0 | task 127 |        eval time =     591.30 ms /     6 tokens (  118.26 ms per token,     8.46 tokens per second)
0.37.842.970 I slot print_timing: id  0 | task 127 |       total time =     733.57 ms /     7 tokens
0.37.842.991 I slot print_timing: id  0 | task 127 |    graphs reused =        107
0.37.843.048 I slot      release: id  0 | task 127 | stop processing: n_tokens = 178, truncated = 0
0.37.843.083 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.37.843.359 I slot launch_slot_: id  0 | task 128 | processing task, is_child = 0
0.37.843.382 W slot   operator(): id  0 | task 128 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.37.843.389 W slot   operator(): id  0 | task 128 | n_past was set to 172
0.38.465.878 I slot print_timing: id  0 | task 128 | prompt eval time =     136.75 ms /     1 tokens (  136.75 ms per token,     7.31 tokens per second)
0.38.465.892 I slot print_timing: id  0 | task 128 |        eval time =     485.73 ms /     6 tokens (   97.15 ms per token,    10.29 tokens per second)
0.38.465.893 I slot print_timing: id  0 | task 128 |       total time =     622.48 ms /     7 tokens
0.38.465.894 I slot print_timing: id  0 | task 128 |    graphs reused =        113
0.38.465.942 I slot      release: id  0 | task 128 | stop processing: n_tokens = 178, truncated = 0
0.38.492.427 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.329 (> 0.100 thold), f_keep = 0.287
0.38.494.952 I slot launch_slot_: id  0 | task 147 | processing task, is_child = 0
0.41.587.752 I slot print_timing: id  0 | task 147 | prompt eval time =    2277.65 ms /    76 tokens (   29.97 ms per token,    33.37 tokens per second)
0.41.587.770 I slot print_timing: id  0 | task 147 |        eval time =     815.08 ms /     6 tokens (  163.02 ms per token,     6.13 tokens per second)
0.41.587.770 I slot print_timing: id  0 | task 147 |       total time =    3092.73 ms /    82 tokens
0.41.587.772 I slot print_timing: id  0 | task 147 |    graphs reused =        117
0.41.587.837 I slot      release: id  0 | task 147 | stop processing: n_tokens = 160, truncated = 0
0.41.587.871 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.41.588.081 I slot launch_slot_: id  0 | task 148 | processing task, is_child = 0
0.41.588.091 W slot   operator(): id  0 | task 148 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.41.588.092 W slot   operator(): id  0 | task 148 | n_past was set to 154
0.42.820.815 I slot print_timing: id  0 | task 148 | prompt eval time =     181.65 ms /     1 tokens (  181.65 ms per token,     5.51 tokens per second)
0.42.820.832 I slot print_timing: id  0 | task 148 |        eval time =    1051.06 ms /     6 tokens (  210.21 ms per token,     4.76 tokens per second)
0.42.820.833 I slot print_timing: id  0 | task 148 |       total time =    1232.71 ms /     7 tokens
0.42.820.835 I slot print_timing: id  0 | task 148 |    graphs reused =        123
0.42.820.895 I slot      release: id  0 | task 148 | stop processing: n_tokens = 160, truncated = 0
0.42.820.930 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.42.821.149 I slot launch_slot_: id  0 | task 149 | processing task, is_child = 0
0.42.821.172 W slot   operator(): id  0 | task 149 | need to evaluate at least 1 token for each active slot (n_past = 155, task.n_tokens() = 155)
0.42.821.172 W slot   operator(): id  0 | task 149 | n_past was set to 154
0.43.465.116 I slot print_timing: id  0 | task 149 | prompt eval time =      89.83 ms /     1 tokens (   89.83 ms per token,    11.13 tokens per second)
0.43.465.135 I slot print_timing: id  0 | task 149 |        eval time =     554.10 ms /     6 tokens (  110.82 ms per token,     9.02 tokens per second)
0.43.465.136 I slot print_timing: id  0 | task 149 |       total time =     643.93 ms /     7 tokens
0.43.465.138 I slot print_timing: id  0 | task 149 |    graphs reused =        129
0.43.465.187 I slot      release: id  0 | task 149 | stop processing: n_tokens = 160, truncated = 0
0.43.482.705 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.295 (> 0.100 thold), f_keep = 0.319
0.43.485.233 I slot launch_slot_: id  0 | task 168 | processing task, is_child = 0
0.45.422.623 I slot print_timing: id  0 | task 168 | prompt eval time =    1384.12 ms /    76 tokens (   18.21 ms per token,    54.91 tokens per second)
0.45.422.645 I slot print_timing: id  0 | task 168 |        eval time =     553.22 ms /     6 tokens (  110.64 ms per token,     9.04 tokens per second)
0.45.422.646 I slot print_timing: id  0 | task 168 |       total time =    1937.34 ms /    82 tokens
0.45.422.647 I slot print_timing: id  0 | task 168 |    graphs reused =        133
0.45.424.055 I slot      release: id  0 | task 168 | stop processing: n_tokens = 178, truncated = 0
0.45.424.109 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.45.424.340 I slot launch_slot_: id  0 | task 169 | processing task, is_child = 0
0.45.424.368 W slot   operator(): id  0 | task 169 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.45.424.378 W slot   operator(): id  0 | task 169 | n_past was set to 172
0.46.038.054 I slot print_timing: id  0 | task 169 | prompt eval time =     107.08 ms /     1 tokens (  107.08 ms per token,     9.34 tokens per second)
0.46.038.072 I slot print_timing: id  0 | task 169 |        eval time =     506.59 ms /     6 tokens (  101.32 ms per token,     9.87 tokens per second)
0.46.038.072 I slot print_timing: id  0 | task 169 |       total time =     613.67 ms /     7 tokens
0.46.038.074 I slot print_timing: id  0 | task 169 |    graphs reused =        139
0.46.038.127 I slot      release: id  0 | task 169 | stop processing: n_tokens = 178, truncated = 0
0.46.038.156 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.972
0.46.038.330 I slot launch_slot_: id  0 | task 170 | processing task, is_child = 0
0.46.038.349 W slot   operator(): id  0 | task 170 | need to evaluate at least 1 token for each active slot (n_past = 173, task.n_tokens() = 173)
0.46.038.350 W slot   operator(): id  0 | task 170 | n_past was set to 172
0.46.797.926 I slot print_timing: id  0 | task 170 | prompt eval time =      97.88 ms /     1 tokens (   97.88 ms per token,    10.22 tokens per second)
0.46.797.941 I slot print_timing: id  0 | task 170 |        eval time =     661.68 ms /     6 tokens (  132.34 ms per token,     7.56 tokens per second)
0.46.797.942 I slot print_timing: id  0 | task 170 |       total time =     759.56 ms /     7 tokens
0.46.797.944 I slot print_timing: id  0 | task 170 |    graphs reused =        145
0.46.798.021 I slot      release: id  0 | task 170 | stop processing: n_tokens = 178, truncated = 0
0.46.818.853 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.618 (> 0.100 thold), f_keep = 0.545
0.46.819.064 I slot launch_slot_: id  0 | task 189 | processing task, is_child = 0
0.48.899.368 I slot print_timing: id  0 | task 189 | prompt eval time =    1518.53 ms /    60 tokens (   25.31 ms per token,    39.51 tokens per second)
0.48.899.387 I slot print_timing: id  0 | task 189 |        eval time =     561.74 ms /     6 tokens (  112.35 ms per token,     8.90 tokens per second)
0.48.899.389 I slot print_timing: id  0 | task 189 |       total time =    2080.27 ms /    66 tokens
0.48.899.390 I slot print_timing: id  0 | task 189 |    graphs reused =        149
0.48.899.436 I slot      release: id  0 | task 189 | stop processing: n_tokens = 162, truncated = 0
0.48.913.928 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.329 (> 0.100 thold), f_keep = 0.315
0.48.916.321 I slot launch_slot_: id  0 | task 196 | processing task, is_child = 0
0.52.370.122 I slot print_timing: id  0 | task 196 | prompt eval time =    2604.44 ms /    76 tokens (   34.27 ms per token,    29.18 tokens per second)
0.52.370.140 I slot print_timing: id  0 | task 196 |        eval time =     849.27 ms /     6 tokens (  169.85 ms per token,     5.89 tokens per second)
0.52.370.141 I slot print_timing: id  0 | task 196 |       total time =    3453.71 ms /    82 tokens
0.52.370.142 I slot print_timing: id  0 | task 196 |    graphs reused =        153
0.52.370.190 I slot      release: id  0 | task 196 | stop processing: n_tokens = 160, truncated = 0
0.52.410.874 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.295 (> 0.100 thold), f_keep = 0.319
0.52.413.787 I slot launch_slot_: id  0 | task 203 | processing task, is_child = 0
0.54.653.038 I slot print_timing: id  0 | task 203 | prompt eval time =    1705.96 ms /    76 tokens (   22.45 ms per token,    44.55 tokens per second)
0.54.653.053 I slot print_timing: id  0 | task 203 |        eval time =     533.23 ms /     6 tokens (  106.65 ms per token,     9.38 tokens per second)
